,nom_lon,nom_lat,lonedges_lo,lonedges_hi,latedges_lo,latedges_hi,Sta,StaLon,StaLat,Index
0,-145.0,50.0,-145.24729729729728,-144.75270270270272,49.84104036138833,50.15895963861167,26,-144.99996380193056,50.0000642581091,0
1,-144.5054054054054,49.96351351351351,-144.75270270270272,-144.2581081081081,49.80455387490184,50.12247315212518,35,-144.3031452474609,50.000180256549,1
2,-144.01081081081082,49.92702702702703,-144.2581081081081,-143.76351351351352,49.76806738841536,50.0859866656387,,,,2
3,-143.5162162162162,49.89054054054054,-143.76351351351352,-143.26891891891893,49.73158090192887,50.04950017915221,25,-143.6048238909421,50.00004305296767,3
4,-143.02162162162162,49.85405405405405,-143.26891891891893,-142.7743243243243,49.695094415442384,50.01301369266572,,,,4
5,-142.52702702702703,49.817567567567565,-142.7743243243243,-142.27972972972975,49.658607928955895,49.976527206179234,24,-142.66642954807423,49.83651118350044,5
6,-142.03243243243244,49.78108108108108,-142.27972972972975,-141.78513513513514,49.622121442469414,49.94004071969275,,,,6
7,-141.53783783783783,49.744594594594595,-141.78513513513514,-141.29054054054052,49.585634955982925,49.903554233206265,23,-141.66652294124006,49.766935716716034,7
8,-141.04324324324324,49.70810810810811,-141.29054054054052,-140.79594594594596,49.54914846949644,49.867067746719776,,,,8
9,-140.54864864864865,49.67162162162162,-140.79594594594596,-140.30135135135134,49.51266198300995,49.83058126023329,22,-140.66621258892522,49.70014079780875,9
10,-140.05405405405406,49.63513513513514,-140.30135135135134,-139.80675675675676,49.47617549652347,49.79409477374681,,,,10
11,-139.55945945945945,49.59864864864865,-139.80675675675676,-139.31216216216217,49.43968901003698,49.75760828726032,21,-139.66670034633654,49.63335897301718,11
12,-139.06486486486486,49.56216216216216,-139.31216216216217,-138.81756756756755,49.40320252355049,49.72112180077383,,,,12
13,-138.57027027027027,49.52567567567568,-138.81756756756755,-138.322972972973,49.36671603706401,49.68463531428735,20,-138.66664334608245,49.56671319899686,13
14,-138.07567567567568,49.48918918918919,-138.322972972973,-137.82837837837837,49.33022955057752,49.64814882780086,,,,14
15,-137.5810810810811,49.4527027027027,-137.82837837837837,-137.3337837837838,49.29374306409103,49.61166234131437,19,-137.66646902627076,49.50005326961275,15
16,-137.08648648648648,49.41621621621621,-137.3337837837838,-136.8391891891892,49.257256577604544,49.57517585482788,,,,16
17,-136.5918918918919,49.37972972972973,-136.8391891891892,-136.34459459459458,49.22077009111806,49.5386893683414,18,-136.66672322992844,49.433416880067675,17
18,-136.0972972972973,49.34324324324324,-136.34459459459458,-135.85000000000002,49.184283604631574,49.50220288185491,,,,18
19,-135.60270270270271,49.306756756756755,-135.85000000000002,-135.3554054054054,49.147797118145085,49.465716395368425,17,-135.6665597692798,49.34985157816057,19
20,-135.1081081081081,49.27027027027027,-135.3554054054054,-134.8608108108108,49.1113106316586,49.429229908881936,,,,20
21,-134.6135135135135,49.233783783783785,-134.8608108108108,-134.36621621621623,49.074824145172116,49.392743422395455,16,-134.66656932948783,49.283302075140085,21
22,-134.11891891891892,49.1972972972973,-134.36621621621623,-133.8716216216216,49.03833765868563,49.35625693590897,,,,22
23,-133.62432432432433,49.16081081081081,-133.8716216216216,-133.37702702702703,49.00185117219914,49.31977044942248,15,-133.6664306777853,49.1998673474284,23
24,-133.12972972972972,49.12432432432432,-133.37702702702703,-132.88243243243244,48.96536468571265,49.28328396293599,,,,24
25,-132.63513513513513,49.08783783783784,-132.88243243243244,-132.38783783783782,48.92887819922617,49.24679747644951,14,-132.66629074152206,49.123224320741,25
26,-132.14054054054054,49.05135135135135,-132.38783783783782,-131.89324324324326,48.89239171273968,49.21031098996302,,,,26
27,-131.64594594594595,49.01486486486486,-131.89324324324326,-131.39864864864865,48.85590522625319,49.17382450347653,13,-131.66613955851852,49.0434326721994,27
28,-131.15135135135137,48.97837837837838,-131.39864864864865,-130.90405405405406,48.81941873976671,49.13733801699005,,,,28
29,-130.65675675675675,48.94189189189189,-130.90405405405406,-130.40945945945947,48.78293225328022,49.10085153050356,12,-130.6665383938441,48.96991312572665,29
30,-130.16216216216216,48.9054054054054,-130.40945945945947,-129.91486486486485,48.746445766793734,49.06436504401707,11,-130.16660258726603,48.93331059916074,30
31,-129.66756756756757,48.868918918918915,-129.91486486486485,-129.4202702702703,48.709959280307245,49.027878557530585,10,-129.66653341895665,48.89323824582591,31
32,-129.17297297297299,48.832432432432434,-129.4202702702703,-128.92567567567568,48.673472793820764,48.9913920710441,9,-129.16609786721466,48.85655358506996,32
33,-128.67837837837837,48.795945945945945,-128.92567567567568,-128.43108108108106,48.636986307334276,48.954905584557615,8,-128.66667893260188,48.81666770061902,33
34,-128.18378378378378,48.75945945945946,-128.43108108108106,-127.93648648648649,48.60049982084779,48.918419098071126,7,-128.16643529176443,48.776600607921004,34
35,-127.6891891891892,48.72297297297297,-127.93648648648649,-127.4418918918919,48.5640133343613,48.88193261158464,6,-127.66642005115442,48.74324659380502,35
36,-127.1945945945946,48.68648648648649,-127.4418918918919,-126.9472972972973,48.52752684787482,48.84544612509816,5,-127.16630410729313,48.691992973694354,36
37,-126.7,48.65,-126.9472972972973,-126.45270270270271,48.49104036138833,48.80895963861167,4,-126.66653216537036,48.64990158487037,37
